Country Name,Indicator Name,Year,Value
Morocco,Gross savings (% of GDP),1997,24.76179869
Morocco,Total natural resources rents (% of GDP),1997,0.397010103
Mozambique,Agricultural raw materials imports (% of merchandise imports),1997,2.333252475
Mozambique,Agricultural raw materials exports (% of merchandise exports),1997,13.77251257
Mozambique,Gross savings (% of GDP),1997,0
Mozambique,Total natural resources rents (% of GDP),1997,11.21929034
Myanmar,Agricultural raw materials imports (% of merchandise imports),1997,0
Myanmar,Agricultural raw materials exports (% of merchandise exports),1997,0
Myanmar,Gross savings (% of GDP),1997,0
Myanmar,Total natural resources rents (% of GDP),1997,0
Namibia,Agricultural raw materials imports (% of merchandise imports),1997,0
Namibia,Agricultural raw materials exports (% of merchandise exports),1997,0
Namibia,Gross savings (% of GDP),1997,24.7495214
Namibia,Total natural resources rents (% of GDP),1997,0.916639787
Nauru,Agricultural raw materials imports (% of merchandise imports),1997,0
Nauru,Agricultural raw materials exports (% of merchandise exports),1997,0
Nauru,Gross savings (% of GDP),1997,0
Nauru,Total natural resources rents (% of GDP),1997,0
Nepal,Agricultural raw materials imports (% of merchandise imports),1997,0
Nepal,Agricultural raw materials exports (% of merchandise exports),1997,0
Nepal,Gross savings (% of GDP),1997,19.11054397
Nepal,Total natural resources rents (% of GDP),1997,1.090667424
Netherlands,Agricultural raw materials imports (% of merchandise imports),1997,2.132001042
Netherlands,Agricultural raw materials exports (% of merchandise exports),1997,3.166217118
Netherlands,Gross savings (% of GDP),1997,28.74183725
Netherlands,Total natural resources rents (% of GDP),1997,0.319717754
New Caledonia,Agricultural raw materials imports (% of merchandise imports),1997,0
New Caledonia,Agricultural raw materials exports (% of merchandise exports),1997,0
New Caledonia,Gross savings (% of GDP),1997,0
New Caledonia,Total natural resources rents (% of GDP),1997,9.826236942
New Zealand,Agricultural raw materials imports (% of merchandise imports),1997,0.954262607
New Zealand,Agricultural raw materials exports (% of merchandise exports),1997,15.78262587
New Zealand,Gross savings (% of GDP),1997,0
New Zealand,Total natural resources rents (% of GDP),1997,1.472510457
Nicaragua,Agricultural raw materials imports (% of merchandise imports),1997,0.713204079
Nicaragua,Agricultural raw materials exports (% of merchandise exports),1997,3.681449955
Nicaragua,Gross savings (% of GDP),1997,7.537222555
Nicaragua,Total natural resources rents (% of GDP),1997,1.891518523
Niger,Agricultural raw materials imports (% of merchandise imports),1997,3.8539863
Niger,Agricultural raw materials exports (% of merchandise exports),1997,0.683797618
Niger,Gross savings (% of GDP),1997,11.53554898
Niger,Total natural resources rents (% of GDP),1997,9.585020704
Nigeria,Agricultural raw materials imports (% of merchandise imports),1997,0.959312365
Nigeria,Agricultural raw materials exports (% of merchandise exports),1997,0.079966179
Nigeria,Gross savings (% of GDP),1997,41.283176
Nigeria,Total natural resources rents (% of GDP),1997,18.06185048
North Macedonia,Agricultural raw materials imports (% of merchandise imports),1997,4.688079818
North Macedonia,Agricultural raw materials exports (% of merchandise exports),1997,3.71449627
North Macedonia,Gross savings (% of GDP),1997,6.049532058
North Macedonia,Total natural resources rents (% of GDP),1997,0.590768407
Northern Mariana Islands,Agricultural raw materials imports (% of merchandise imports),1997,0
Northern Mariana Islands,Agricultural raw materials exports (% of merchandise exports),1997,0
Northern Mariana Islands,Gross savings (% of GDP),1997,0
Northern Mariana Islands,Total natural resources rents (% of GDP),1997,0
Norway,Agricultural raw materials imports (% of merchandise imports),1997,2.130515065
Norway,Agricultural raw materials exports (% of merchandise exports),1997,1.065459357
Norway,Gross savings (% of GDP),1997,31.19921217
Norway,Total natural resources rents (% of GDP),1997,6.006310178
Oman,Agricultural raw materials imports (% of merchandise imports),1997,0.736609034
Oman,Agricultural raw materials exports (% of merchandise exports),1997,0.026992923
Oman,Gross savings (% of GDP),1997,16.22630688
Oman,Total natural resources rents (% of GDP),1997,33.81655535
Pakistan,Agricultural raw materials imports (% of merchandise imports),1997,3.911460591
Pakistan,Agricultural raw materials exports (% of merchandise exports),1997,2.726854066
Pakistan,Gross savings (% of GDP),1997,16.04084481
Pakistan,Total natural resources rents (% of GDP),1997,0.990897147
Palau,Agricultural raw materials imports (% of merchandise imports),1997,0
Palau,Agricultural raw materials exports (% of merchandise exports),1997,0
Palau,Gross savings (% of GDP),1997,0
Palau,Total natural resources rents (% of GDP),1997,0
Panama,Agricultural raw materials imports (% of merchandise imports),1997,0.518531506
Panama,Agricultural raw materials exports (% of merchandise exports),1997,0.503793783
Panama,Gross savings (% of GDP),1997,25.94826039
Panama,Total natural resources rents (% of GDP),1997,0.200201312
Papua New Guinea,Agricultural raw materials imports (% of merchandise imports),1997,0
Papua New Guinea,Agricultural raw materials exports (% of merchandise exports),1997,0
Papua New Guinea,Gross savings (% of GDP),1997,14.83252033
Papua New Guinea,Total natural resources rents (% of GDP),1997,13.30335171
Paraguay,Agricultural raw materials imports (% of merchandise imports),1997,0.216942923
Paraguay,Agricultural raw materials exports (% of merchandise exports),1997,12.80377395
Paraguay,Gross savings (% of GDP),1997,17.45768665
Paraguay,Total natural resources rents (% of GDP),1997,2.014172301
Peru,Agricultural raw materials imports (% of merchandise imports),1997,1.511280739
Peru,Agricultural raw materials exports (% of merchandise exports),1997,2.451817821
Peru,Gross savings (% of GDP),1997,18.25675798
Peru,Total natural resources rents (% of GDP),1997,2.577333135
Philippines,Agricultural raw materials imports (% of merchandise imports),1997,1.615353824
Philippines,Agricultural raw materials exports (% of merchandise exports),1997,0.96100533
Philippines,Gross savings (% of GDP),1997,23.91223542
Philippines,Total natural resources rents (% of GDP),1997,0.707373667
Poland,Agricultural raw materials imports (% of merchandise imports),1997,2.355704817
Poland,Agricultural raw materials exports (% of merchandise exports),1997,2.201529578
Poland,Gross savings (% of GDP),1997,20.35802525
Poland,Total natural resources rents (% of GDP),1997,0.796515535
Portugal,Agricultural raw materials imports (% of merchandise imports),1997,3.194067337
Portugal,Agricultural raw materials exports (% of merchandise exports),1997,3.397574588
Portugal,Gross savings (% of GDP),1997,21.62785726
Portugal,Total natural resources rents (% of GDP),1997,0.152172949
Puerto Rico,Agricultural raw materials imports (% of merchandise imports),1997,0
Puerto Rico,Agricultural raw materials exports (% of merchandise exports),1997,0
Puerto Rico,Gross savings (% of GDP),1997,0
Puerto Rico,Total natural resources rents (% of GDP),1997,0
Qatar,Agricultural raw materials imports (% of merchandise imports),1997,0
Qatar,Agricultural raw materials exports (% of merchandise exports),1997,0
Qatar,Gross savings (% of GDP),1997,0
Qatar,Total natural resources rents (% of GDP),1997,30.22538236
Romania,Agricultural raw materials imports (% of merchandise imports),1997,1.840191847
Romania,Agricultural raw materials exports (% of merchandise exports),1997,3.641900073
Romania,Gross savings (% of GDP),1997,15.20945879
Romania,Total natural resources rents (% of GDP),1997,2.474344824
Russian Federation,Agricultural raw materials imports (% of merchandise imports),1997,0.995544726
Russian Federation,Agricultural raw materials exports (% of merchandise exports),1997,3.403231893
Russian Federation,Gross savings (% of GDP),1997,21.9453568
Russian Federation,Total natural resources rents (% of GDP),1997,7.476705861
Rwanda,Agricultural raw materials imports (% of merchandise imports),1997,3.187799844
Rwanda,Agricultural raw materials exports (% of merchandise exports),1997,14.77156362
Rwanda,Gross savings (% of GDP),1997,0
Rwanda,Total natural resources rents (% of GDP),1997,11.12867649
Samoa,Agricultural raw materials imports (% of merchandise imports),1997,0
Samoa,Agricultural raw materials exports (% of merchandise exports),1997,0
Samoa,Gross savings (% of GDP),1997,0
Samoa,Total natural resources rents (% of GDP),1997,1.295102102
San Marino,Agricultural raw materials imports (% of merchandise imports),1997,0
San Marino,Agricultural raw materials exports (% of merchandise exports),1997,0
San Marino,Gross savings (% of GDP),1997,0
San Marino,Total natural resources rents (% of GDP),1997,0
Sao Tome and Principe,Agricultural raw materials imports (% of merchandise imports),1997,0
Sao Tome and Principe,Agricultural raw materials exports (% of merchandise exports),1997,0
Sao Tome and Principe,Gross savings (% of GDP),1997,0
Sao Tome and Principe,Total natural resources rents (% of GDP),1997,0
Saudi Arabia,Agricultural raw materials imports (% of merchandise imports),1997,0
Saudi Arabia,Agricultural raw materials exports (% of merchandise exports),1997,0
Saudi Arabia,Gross savings (% of GDP),1997,22.7627294
Saudi Arabia,Total natural resources rents (% of GDP),1997,29.68874855
Senegal,Agricultural raw materials imports (% of merchandise imports),1997,1.75216076
Senegal,Agricultural raw materials exports (% of merchandise exports),1997,8.009886282
Senegal,Gross savings (% of GDP),1997,10.76193471
Senegal,Total natural resources rents (% of GDP),1997,3.135351694
Serbia,Agricultural raw materials imports (% of merchandise imports),1997,3.884840506
Serbia,Agricultural raw materials exports (% of merchandise exports),1997,4.977523303
Serbia,Gross savings (% of GDP),1997,0
Serbia,Total natural resources rents (% of GDP),1997,0.289795202
Seychelles,Agricultural raw materials imports (% of merchandise imports),1997,1.622991287
Seychelles,Agricultural raw materials exports (% of merchandise exports),1997,0.501697372
Seychelles,Gross savings (% of GDP),1997,20.16485269
Seychelles,Total natural resources rents (% of GDP),1997,0.088629743
Sierra Leone,Agricultural raw materials imports (% of merchandise imports),1997,0
Sierra Leone,Agricultural raw materials exports (% of merchandise exports),1997,0
Sierra Leone,Gross savings (% of GDP),1997,-3.384961938
Sierra Leone,Total natural resources rents (% of GDP),1997,16.21346982
Singapore,Agricultural raw materials imports (% of merchandise imports),1997,0.614830424
Singapore,Agricultural raw materials exports (% of merchandise exports),1997,0.682963933
Singapore,Gross savings (% of GDP),1997,52.3004879
Singapore,Total natural resources rents (% of GDP),1997,0.000727259
Sint Maarten (Dutch part),Agricultural raw materials imports (% of merchandise imports),1997,0
Sint Maarten (Dutch part),Agricultural raw materials exports (% of merchandise exports),1997,0
Sint Maarten (Dutch part),Gross savings (% of GDP),1997,0
Sint Maarten (Dutch part),Total natural resources rents (% of GDP),1997,0
Slovak Republic,Agricultural raw materials imports (% of merchandise imports),1997,1.909483324
Slovak Republic,Agricultural raw materials exports (% of merchandise exports),1997,2.891804395
Slovak Republic,Gross savings (% of GDP),1997,25.31572351
Slovak Republic,Total natural resources rents (% of GDP),1997,0.36630549
Slovenia,Agricultural raw materials imports (% of merchandise imports),1997,3.504104019
Slovenia,Agricultural raw materials exports (% of merchandise exports),1997,1.588028278
Slovenia,Gross savings (% of GDP),1997,25.56401514
Slovenia,Total natural resources rents (% of GDP),1997,0.183134112
Solomon Islands,Agricultural raw materials imports (% of merchandise imports),1997,0
Solomon Islands,Agricultural raw materials exports (% of merchandise exports),1997,0
Solomon Islands,Gross savings (% of GDP),1997,-7.491133295
Solomon Islands,Total natural resources rents (% of GDP),1997,5.48465689
Somalia,Agricultural raw materials imports (% of merchandise imports),1997,0
Somalia,Agricultural raw materials exports (% of merchandise exports),1997,0
Somalia,Gross savings (% of GDP),1997,0
Somalia,Total natural resources rents (% of GDP),1997,0
South Africa,Agricultural raw materials imports (% of merchandise imports),1997,1.713091317
South Africa,Agricultural raw materials exports (% of merchandise exports),1997,4.480561839
South Africa,Gross savings (% of GDP),1997,14.87209703
South Africa,Total natural resources rents (% of GDP),1997,3.644830155
South Sudan,Agricultural raw materials imports (% of merchandise imports),1997,0
South Sudan,Agricultural raw materials exports (% of merchandise exports),1997,0
South Sudan,Gross savings (% of GDP),1997,0
South Sudan,Total natural resources rents (% of GDP),1997,0
Spain,Agricultural raw materials imports (% of merchandise imports),1997,2.472122174
Spain,Agricultural raw materials exports (% of merchandise exports),1997,1.351131114
Spain,Gross savings (% of GDP),1997,22.06868856
Spain,Total natural resources rents (% of GDP),1997,0.052733892
Sri Lanka,Agricultural raw materials imports (% of merchandise imports),1997,0
Sri Lanka,Agricultural raw materials exports (% of merchandise exports),1997,0
Sri Lanka,Gross savings (% of GDP),1997,22.20264759
Sri Lanka,Total natural resources rents (% of GDP),1997,0.211594305
St. Kitts and Nevis,Agricultural raw materials imports (% of merchandise imports),1997,2.085022335
St. Kitts and Nevis,Agricultural raw materials exports (% of merchandise exports),1997,0.03238374
St. Kitts and Nevis,Gross savings (% of GDP),1997,0
St. Kitts and Nevis,Total natural resources rents (% of GDP),1997,0
St. Lucia,Agricultural raw materials imports (% of merchandise imports),1997,2.136111546
St. Lucia,Agricultural raw materials exports (% of merchandise exports),1997,0.176735331
St. Lucia,Gross savings (% of GDP),1997,0
St. Lucia,Total natural resources rents (% of GDP),1997,0.015635333
St. Martin (French part),Agricultural raw materials imports (% of merchandise imports),1997,0
St. Martin (French part),Agricultural raw materials exports (% of merchandise exports),1997,0
St. Martin (French part),Gross savings (% of GDP),1997,0
St. Martin (French part),Total natural resources rents (% of GDP),1997,0
St. Vincent and the Grenadines,Agricultural raw materials imports (% of merchandise imports),1997,2.714852147
St. Vincent and the Grenadines,Agricultural raw materials exports (% of merchandise exports),1997,0.057427724
St. Vincent and the Grenadines,Gross savings (% of GDP),1997,0
St. Vincent and the Grenadines,Total natural resources rents (% of GDP),1997,0.034391244
Sudan,Agricultural raw materials imports (% of merchandise imports),1997,1.76872003
Sudan,Agricultural raw materials exports (% of merchandise exports),1997,29.68765389
Sudan,Gross savings (% of GDP),1997,7.106950804
Sudan,Total natural resources rents (% of GDP),1997,0.249378217
Suriname,Agricultural raw materials imports (% of merchandise imports),1997,0.123645193
Suriname,Agricultural raw materials exports (% of merchandise exports),1997,0.698812531
Suriname,Gross savings (% of GDP),1997,0
Suriname,Total natural resources rents (% of GDP),1997,8.869210741
Sweden,Agricultural raw materials imports (% of merchandise imports),1997,1.731347847
Sweden,Agricultural raw materials exports (% of merchandise exports),1997,5.349018432
Sweden,Gross savings (% of GDP),1997,23.10467124
Sweden,Total natural resources rents (% of GDP),1997,0.352090008
Switzerland,Agricultural raw materials imports (% of merchandise imports),1997,1.589206679
Switzerland,Agricultural raw materials exports (% of merchandise exports),1997,0.597155896
Switzerland,Gross savings (% of GDP),1997,33.52144109
Switzerland,Total natural resources rents (% of GDP),1997,0.020065727
Syrian Arab Republic,Agricultural raw materials imports (% of merchandise imports),1997,0
Syrian Arab Republic,Agricultural raw materials exports (% of merchandise exports),1997,0
Syrian Arab Republic,Gross savings (% of GDP),1997,0
Syrian Arab Republic,Total natural resources rents (% of GDP),1997,22.95778119
Tajikistan,Agricultural raw materials imports (% of merchandise imports),1997,0
Tajikistan,Agricultural raw materials exports (% of merchandise exports),1997,0
Tajikistan,Gross savings (% of GDP),1997,0
Tajikistan,Total natural resources rents (% of GDP),1997,0.687672915
Tanzania,Agricultural raw materials imports (% of merchandise imports),1997,2.132986724
Tanzania,Agricultural raw materials exports (% of merchandise exports),1997,23.09962869
Tanzania,Gross savings (% of GDP),1997,11.00368273
Tanzania,Total natural resources rents (% of GDP),1997,8.873361979
Thailand,Agricultural raw materials imports (% of merchandise imports),1997,3.117754137
Thailand,Agricultural raw materials exports (% of merchandise exports),1997,4.010473306
Thailand,Gross savings (% of GDP),1997,32.25459716
Thailand,Total natural resources rents (% of GDP),1997,0.821848199
Timor-Leste,Agricultural raw materials imports (% of merchandise imports),1997,0
Timor-Leste,Agricultural raw materials exports (% of merchandise exports),1997,0
Timor-Leste,Gross savings (% of GDP),1997,0
Timor-Leste,Total natural resources rents (% of GDP),1997,0
Togo,Agricultural raw materials imports (% of merchandise imports),1997,1.510524234
Togo,Agricultural raw materials exports (% of merchandise exports),1997,35.5920678
Togo,Gross savings (% of GDP),1997,5.157527182
Togo,Total natural resources rents (% of GDP),1997,10.67538865
Tonga,Agricultural raw materials imports (% of merchandise imports),1997,0
Tonga,Agricultural raw materials exports (% of merchandise exports),1997,0
Tonga,Gross savings (% of GDP),1997,0
Tonga,Total natural resources rents (% of GDP),1997,0.048747724
Trinidad and Tobago,Agricultural raw materials imports (% of merchandise imports),1997,0.981221308
Trinidad and Tobago,Agricultural raw materials exports (% of merchandise exports),1997,0.214261485
Trinidad and Tobago,Gross savings (% of GDP),1997,0
Trinidad and Tobago,Total natural resources rents (% of GDP),1997,11.55470862
Tunisia,Agricultural raw materials imports (% of merchandise imports),1997,3.371711807
Tunisia,Agricultural raw materials exports (% of merchandise exports),1997,0.696955532
Tunisia,Gross savings (% of GDP),1997,21.6724348
Tunisia,Total natural resources rents (% of GDP),1997,2.648904143
Turkey,Agricultural raw materials imports (% of merchandise imports),1997,4.690490335
Turkey,Agricultural raw materials exports (% of merchandise exports),1997,1.284381629
Turkey,Gross savings (% of GDP),1997,20.49299152
Turkey,Total natural resources rents (% of GDP),1997,0.28263962
Turkmenistan,Agricultural raw materials imports (% of merchandise imports),1997,0.372111573
Turkmenistan,Agricultural raw materials exports (% of merchandise exports),1997,12.95837201
Turkmenistan,Gross savings (% of GDP),1997,0
Turkmenistan,Total natural resources rents (% of GDP),1997,22.87789154
Turks and Caicos Islands,Agricultural raw materials imports (% of merchandise imports),1997,0
Turks and Caicos Islands,Agricultural raw materials exports (% of merchandise exports),1997,0
Turks and Caicos Islands,Gross savings (% of GDP),1997,0
Turks and Caicos Islands,Total natural resources rents (% of GDP),1997,0
Tuvalu,Agricultural raw materials imports (% of merchandise imports),1997,2.334812554
Tuvalu,Agricultural raw materials exports (% of merchandise exports),1997,0
Tuvalu,Gross savings (% of GDP),1997,0
Tuvalu,Total natural resources rents (% of GDP),1997,0
Uganda,Agricultural raw materials imports (% of merchandise imports),1997,2.879685128
Uganda,Agricultural raw materials exports (% of merchandise exports),1997,7.897415329
Uganda,Gross savings (% of GDP),1997,24.22972248
Uganda,Total natural resources rents (% of GDP),1997,16.85004386
Ukraine,Agricultural raw materials imports (% of merchandise imports),1997,1.9365168
Ukraine,Agricultural raw materials exports (% of merchandise exports),1997,1.025445533
Ukraine,Gross savings (% of GDP),1997,18.78780073
Ukraine,Total natural resources rents (% of GDP),1997,1.987661634
United Arab Emirates,Agricultural raw materials imports (% of merchandise imports),1997,0
United Arab Emirates,Agricultural raw materials exports (% of merchandise exports),1997,0
United Arab Emirates,Gross savings (% of GDP),1997,0
United Arab Emirates,Total natural resources rents (% of GDP),1997,17.80083568
United Kingdom,Agricultural raw materials imports (% of merchandise imports),1997,2.006942085
United Kingdom,Agricultural raw materials exports (% of merchandise exports),1997,0.689339762
United Kingdom,Gross savings (% of GDP),1997,15.78811958
United Kingdom,Total natural resources rents (% of GDP),1997,0.556094184
United States,Agricultural raw materials imports (% of merchandise imports),1997,1.904501821
United States,Agricultural raw materials exports (% of merchandise exports),1997,2.726602949
United States,Gross savings (% of GDP),1997,20.83214638
United States,Total natural resources rents (% of GDP),1997,0.793946105
Uruguay,Agricultural raw materials imports (% of merchandise imports),1997,2.786904459
Uruguay,Agricultural raw materials exports (% of merchandise exports),1997,13.03067214
Uruguay,Gross savings (% of GDP),1997,13.56433097
Uruguay,Total natural resources rents (% of GDP),1997,0.40127581
Uzbekistan,Agricultural raw materials imports (% of merchandise imports),1997,0
Uzbekistan,Agricultural raw materials exports (% of merchandise exports),1997,0
Uzbekistan,Gross savings (% of GDP),1997,0
Uzbekistan,Total natural resources rents (% of GDP),1997,8.806817644
Vanuatu,Agricultural raw materials imports (% of merchandise imports),1997,0
Vanuatu,Agricultural raw materials exports (% of merchandise exports),1997,0
Vanuatu,Gross savings (% of GDP),1997,15.40171792
Vanuatu,Total natural resources rents (% of GDP),1997,0.690819287
"Venezuela, RB",Agricultural raw materials imports (% of merchandise imports),1997,2.119636606
"Venezuela, RB",Agricultural raw materials exports (% of merchandise exports),1997,0.195988359
"Venezuela, RB",Gross savings (% of GDP),1997,31.96256476
"Venezuela, RB",Total natural resources rents (% of GDP),1997,17.7488647
Vietnam,Agricultural raw materials imports (% of merchandise imports),1997,2.398439263
Vietnam,Agricultural raw materials exports (% of merchandise exports),1997,3.126003551
Vietnam,Gross savings (% of GDP),1997,21.79550617
Vietnam,Total natural resources rents (% of GDP),1997,5.846526612
Virgin Islands (U.S.),Agricultural raw materials imports (% of merchandise imports),1997,0
Virgin Islands (U.S.),Agricultural raw materials exports (% of merchandise exports),1997,0
Virgin Islands (U.S.),Gross savings (% of GDP),1997,0
Virgin Islands (U.S.),Total natural resources rents (% of GDP),1997,0
West Bank and Gaza,Agricultural raw materials imports (% of merchandise imports),1997,0
West Bank and Gaza,Agricultural raw materials exports (% of merchandise exports),1997,0
West Bank and Gaza,Gross savings (% of GDP),1997,5.705090696
West Bank and Gaza,Total natural resources rents (% of GDP),1997,0
"Yemen, Rep.",Agricultural raw materials imports (% of merchandise imports),1997,0
"Yemen, Rep.",Agricultural raw materials exports (% of merchandise exports),1997,0
"Yemen, Rep.",Gross savings (% of GDP),1997,0
"Yemen, Rep.",Total natural resources rents (% of GDP),1997,30.89851868
Zambia,Agricultural raw materials imports (% of merchandise imports),1997,2.215600971
Zambia,Agricultural raw materials exports (% of merchandise exports),1997,3.945139718
Zambia,Gross savings (% of GDP),1997,0
Zambia,Total natural resources rents (% of GDP),1997,5.784451313
Zimbabwe,Agricultural raw materials imports (% of merchandise imports),1997,1.899788787
Zimbabwe,Agricultural raw materials exports (% of merchandise exports),1997,10.54505025
Zimbabwe,Gross savings (% of GDP),1997,0
Zimbabwe,Total natural resources rents (% of GDP),1997,6.776037501
Africa Eastern and Southern,Agricultural raw materials imports (% of merchandise imports),1997,1.908765026
Africa Eastern and Southern,Agricultural raw materials exports (% of merchandise exports),1997,6.594104158
Africa Eastern and Southern,Gross savings (% of GDP),1997,0
Africa Eastern and Southern,Total natural resources rents (% of GDP),1997,6.683220708
Africa Western and Central,Agricultural raw materials imports (% of merchandise imports),1997,1.240575535
Africa Western and Central,Agricultural raw materials exports (% of merchandise exports),1997,9.023018334
Africa Western and Central,Gross savings (% of GDP),1997,33.73379293
Africa Western and Central,Total natural resources rents (% of GDP),1997,13.95561472
Arab World,Agricultural raw materials imports (% of merchandise imports),1997,0
Arab World,Agricultural raw materials exports (% of merchandise exports),1997,0
Arab World,Gross savings (% of GDP),1997,0
Arab World,Total natural resources rents (% of GDP),1997,19.51129239
Caribbean small states,Agricultural raw materials imports (% of merchandise imports),1997,1.30440791
Caribbean small states,Agricultural raw materials exports (% of merchandise exports),1997,0.509165443
Caribbean small states,Gross savings (% of GDP),1997,0
Caribbean small states,Total natural resources rents (% of GDP),1997,4.00767066
Central Europe and the Baltics,Agricultural raw materials imports (% of merchandise imports),1997,2.244714617
Central Europe and the Baltics,Agricultural raw materials exports (% of merchandise exports),1997,3.117223401
Central Europe and the Baltics,Gross savings (% of GDP),1997,20.91254902
Central Europe and the Baltics,Total natural resources rents (% of GDP),1997,0.869899161
Early-demographic dividend,Agricultural raw materials imports (% of merchandise imports),1997,2.897768643
Early-demographic dividend,Agricultural raw materials exports (% of merchandise exports),1997,2.269046775
Early-demographic dividend,Gross savings (% of GDP),1997,23.7746395
Early-demographic dividend,Total natural resources rents (% of GDP),1997,6.36048145
East Asia & Pacific,Agricultural raw materials imports (% of merchandise imports),1997,3.698543359
East Asia & Pacific,Agricultural raw materials exports (% of merchandise exports),1997,1.833940292
East Asia & Pacific,Gross savings (% of GDP),1997,35.63612326
East Asia & Pacific,Total natural resources rents (% of GDP),1997,0.780383816
East Asia & Pacific (excluding high income),Agricultural raw materials imports (% of merchandise imports),1997,4.437926456
East Asia & Pacific (excluding high income),Agricultural raw materials exports (% of merchandise exports),1997,2.102963082
East Asia & Pacific (excluding high income),Gross savings (% of GDP),1997,37.95897316
East Asia & Pacific (excluding high income),Total natural resources rents (% of GDP),1997,3.148071264
East Asia & Pacific (IDA & IBRD countries),Agricultural raw materials imports (% of merchandise imports),1997,4.437926456
East Asia & Pacific (IDA & IBRD countries),Agricultural raw materials exports (% of merchandise exports),1997,2.102963082
East Asia & Pacific (IDA & IBRD countries),Gross savings (% of GDP),1997,37.95897316
East Asia & Pacific (IDA & IBRD countries),Total natural resources rents (% of GDP),1997,3.148071264
Euro area,Agricultural raw materials imports (% of merchandise imports),1997,2.517955427
Euro area,Agricultural raw materials exports (% of merchandise exports),1997,1.729064858
Euro area,Gross savings (% of GDP),1997,23.11200676
Euro area,Total natural resources rents (% of GDP),1997,0.095223186
Europe & Central Asia,Agricultural raw materials imports (% of merchandise imports),1997,2.393237264
Europe & Central Asia,Agricultural raw materials exports (% of merchandise exports),1997,1.923255089
Europe & Central Asia,Gross savings (% of GDP),1997,22.13354103
Europe & Central Asia,Total natural resources rents (% of GDP),1997,0.634489517
Europe & Central Asia (excluding high income),Agricultural raw materials imports (% of merchandise imports),1997,2.622627915
Europe & Central Asia (excluding high income),Agricultural raw materials exports (% of merchandise exports),1997,3.272753958
Europe & Central Asia (excluding high income),Gross savings (% of GDP),1997,20.23824846
Europe & Central Asia (excluding high income),Total natural resources rents (% of GDP),1997,4.747996903
Europe & Central Asia (IDA & IBRD countries),Agricultural raw materials imports (% of merchandise imports),1997,2.541363428
Europe & Central Asia (IDA & IBRD countries),Agricultural raw materials exports (% of merchandise exports),1997,3.083341451
Europe & Central Asia (IDA & IBRD countries),Gross savings (% of GDP),1997,20.19812013
Europe & Central Asia (IDA & IBRD countries),Total natural resources rents (% of GDP),1997,4.005604103
European Union,Agricultural raw materials imports (% of merchandise imports),1997,2.462896695
European Union,Agricultural raw materials exports (% of merchandise exports),1997,1.971655982
European Union,Gross savings (% of GDP),1997,22.93314029
European Union,Total natural resources rents (% of GDP),1997,0.148378154
Fragile and conflict affected situations,Agricultural raw materials imports (% of merchandise imports),1997,0
Fragile and conflict affected situations,Agricultural raw materials exports (% of merchandise exports),1997,0
Fragile and conflict affected situations,Gross savings (% of GDP),1997,0
Fragile and conflict affected situations,Total natural resources rents (% of GDP),1997,17.77139018
Heavily indebted poor countries (HIPC),Agricultural raw materials imports (% of merchandise imports),1997,1.679236824
Heavily indebted poor countries (HIPC),Agricultural raw materials exports (% of merchandise exports),1997,14.06213665
Heavily indebted poor countries (HIPC),Gross savings (% of GDP),1997,0
Heavily indebted poor countries (HIPC),Total natural resources rents (% of GDP),1997,9.768804956
High income,Agricultural raw materials imports (% of merchandise imports),1997,2.338666168
High income,Agricultural raw materials exports (% of merchandise exports),1997,2.113602439
High income,Gross savings (% of GDP),1997,23.59488845
High income,Total natural resources rents (% of GDP),1997,0.82849133
IBRD only,Agricultural raw materials imports (% of merchandise imports),1997,3.452821171
IBRD only,Agricultural raw materials exports (% of merchandise exports),1997,2.407544118
IBRD only,Gross savings (% of GDP),1997,29.42471114
IBRD only,Total natural resources rents (% of GDP),1997,3.688994508
IDA & IBRD total,Agricultural raw materials imports (% of merchandise imports),1997,3.399776446
IDA & IBRD total,Agricultural raw materials exports (% of merchandise exports),1997,2.572270843
IDA & IBRD total,Gross savings (% of GDP),1997,29.18326546
IDA & IBRD total,Total natural resources rents (% of GDP),1997,4.174067361
IDA blend,Agricultural raw materials imports (% of merchandise imports),1997,2.31394367
IDA blend,Agricultural raw materials exports (% of merchandise exports),1997,3.059395219
IDA blend,Gross savings (% of GDP),1997,30.33167644
IDA blend,Total natural resources rents (% of GDP),1997,8.874901858
IDA only,Agricultural raw materials imports (% of merchandise imports),1997,0
IDA only,Agricultural raw materials exports (% of merchandise exports),1997,10.41980438
IDA only,Gross savings (% of GDP),1997,0
IDA only,Total natural resources rents (% of GDP),1997,11.42219059
IDA total,Agricultural raw materials imports (% of merchandise imports),1997,2.482417802
IDA total,Agricultural raw materials exports (% of merchandise exports),1997,7.16826408
IDA total,Gross savings (% of GDP),1997,24.97190375
IDA total,Total natural resources rents (% of GDP),1997,10.40659923
Late-demographic dividend,Agricultural raw materials imports (% of merchandise imports),1997,3.5985127
Late-demographic dividend,Agricultural raw materials exports (% of merchandise exports),1997,2.47287868
Late-demographic dividend,Gross savings (% of GDP),1997,31.7956072
Late-demographic dividend,Total natural resources rents (% of GDP),1997,3.618655426
Latin America & Caribbean,Agricultural raw materials imports (% of merchandise imports),1997,1.883603973
Latin America & Caribbean,Agricultural raw materials exports (% of merchandise exports),1997,2.833548601
Latin America & Caribbean,Gross savings (% of GDP),1997,17.48913909
